,NO OF ITERATIONS,COST,BIAS HISTORY,WEIGHT_HISTORY
24,2400,0.08231825236143873,-0.41603711916429714,"[ 0.46686202  0.46662143  0.45891831  0.46919111  0.17706532  0.0936077
  0.37912291  0.49252855  0.10781469 -0.2443073   0.47679981  0.00281889
  0.38863191  0.42069522  0.03149956 -0.20636317 -0.10381229  0.07177098
 -0.11165153 -0.2712946   0.58636032  0.59291076  0.55467329  0.55657531
  0.44109786  0.21527524  0.3867129   0.53261278  0.39272448  0.12658445]"
25,2500,0.08155383408152397,-0.4192717824927195,"[ 0.47044052  0.472565    0.46227266  0.4732257   0.17875033  0.09021518
  0.38388248  0.49789122  0.10751477 -0.24849652  0.48468642  0.00216438
  0.39397303  0.42669814  0.03366751 -0.21320168 -0.10450644  0.07274663
 -0.11449223 -0.27644274  0.59306762  0.60217511  0.56050293  0.56310495
  0.44860488  0.214924    0.39240346  0.53917745  0.39895764  0.12801137]"
26,2600,0.08083605194510156,-0.4222876570534865,"[ 0.47383724  0.47822858  0.46545192  0.47707141  0.18037112  0.08683004
  0.38852193  0.50307694  0.10718116 -0.25255139  0.49238401  0.00145905
  0.39916585  0.43253164  0.03579224 -0.21991231 -0.1051084   0.07374469
 -0.1172801  -0.28145524  0.59953971  0.61110788  0.5661135   0.56940618
  0.45589646  0.21451436  0.39797265  0.54554763  0.4050301   0.12940679]"
27,2700,0.08016039645251531,-0.4251018991194677,"[ 0.4770655   0.48363088  0.46846905  0.48074187  0.18193182  0.08345432
  0.393049    0.50809815  0.10681745 -0.25647982  0.49990451  0.00070731
  0.40422017  0.43820696  0.03787598 -0.22650143 -0.10562573  0.07476332
 -0.12001673 -0.28634086  0.60579275  0.61973055  0.57152023  0.57549466
  0.46298472  0.21405175  0.40342718  0.55173587  0.4109522   0.13077286]"
28,2800,0.07952294084317096,-0.4277298288735417,"[ 4.80137183e-01  4.88788914e-01  4.71335617e-01  4.84249288e-01
  1.83436103e-01  8.00897183e-02  3.97470579e-01  5.12965914e-01
  1.06426765e-01 -2.60288954e-01  5.07258622e-01 -8.68012414e-05
  4.09144758e-01  4.43734222e-01  3.99207752e-02 -2.32974853e-01
 -1.06065200e-01  7.58008384e-02 -1.22703613e-01 -2.91107484e-01
  6.11841204e-01  6.28062694e-01  5.76736782e-01  5.81384491e-01
  4.69880695e-01  2.13540984e-01  4.08773081e-01  5.57753464e-01
  4.16733235e-01  1.32111533e-01]"
29,2900,0.07892024838661109,-0.4301851790400339,"[ 0.48306294  0.49371822  0.47406197  0.48760462  0.18488726  0.0767376
  0.40179291  0.51769019  0.10601188 -0.26398529  0.51445603 -0.0009196
  0.41394749  0.44912254  0.04192853 -0.23933792 -0.10643286  0.0768557
 -0.12534219 -0.29576218  0.61769812  0.63612217  0.58177543  0.58708834
  0.47659442  0.21298633  0.41401584  0.56361056  0.42238161  0.13342457]"
30,3000,0.07834929701291016,-0.43248030324442727,"[ 0.48585237  0.49843298  0.47665744  0.49081774  0.18628827  0.07339909
  0.4060216   0.52227995  0.10557523 -0.26757476  0.52150549 -0.00178769
  0.41863547  0.45438017  0.043901   -0.24559553 -0.10673415  0.07792649
 -0.12793384 -0.30031134  0.62337529  0.64392534  0.58664728  0.59261769
  0.48313508  0.21239159  0.41916045  0.56931637  0.42790496  0.13471359]"
31,3100,0.07780741758318199,-0.4346263516328547,"[ 0.48851416  0.5029462   0.47913043  0.49389758  0.1876418   0.07007511
  0.41016176  0.52674328  0.10511898 -0.27106279  0.52841497 -0.00268798
  0.42321514  0.45951458  0.04583981 -0.25175219 -0.10697398  0.07901189
 -0.13047985 -0.30476079  0.62888341  0.6514872   0.59136237  0.59798294
  0.48951108  0.21176017  0.4242115   0.57487924  0.43331021  0.13598007]"
32,3200,0.07729224298194955,-0.4366334196941758,"[ 0.49105616  0.50726983  0.48148859  0.49685226  0.1889503   0.06676638
  0.41421801  0.53108756  0.10464505 -0.27445437  0.53519174 -0.00361761
  0.42769236  0.4645326   0.04774644 -0.25781206 -0.10715677  0.0801107
 -0.13298148 -0.30911579  0.6342322   0.65882156  0.59592984  0.60319357
  0.49573016  0.21109514  0.42917319  0.5803068   0.43860372  0.13722537]"
33,3300,0.07680166586369472,-0.43851067501035146,"[ 0.49348554  0.51141487  0.48373884  0.49968917  0.19021597  0.06347352
  0.41819461  0.53531948  0.10415514 -0.27775408  0.54184244 -0.00457397
  0.43207244  0.46944045  0.04962228 -0.263779   -0.10728655  0.08122179
 -0.13543993 -0.31338118  0.63943058  0.66594113  0.60035805  0.60825825
  0.50179947  0.21039926  0.4340494   0.58560602  0.44379129  0.13845074]"
34,3400,0.07633380337140773,-0.44026646572025097,"[ 0.49580883  0.51539145  0.48588752  0.50241507  0.19144084  0.06019699
  0.42209545  0.53944517  0.10365078 -0.28096616  0.54837315 -0.00555467
  0.43636026  0.47424385  0.05146862 -0.26965659 -0.10736699  0.08234414
 -0.13785636 -0.31756136  0.64448667  0.67285767  0.60465463  0.61318491
  0.50772561  0.20967503  0.43884373  0.59078331  0.44887823  0.13965737]"
35,3500,0.07588696751084532,-0.44190841374917944,"[ 0.49803203  0.51920895  0.48794043  0.50503615  0.19262679  0.05693718
  0.42592408  0.54347024  0.10313334 -0.28409453  0.5547895  -0.00655748
  0.4405603   0.47894804  0.05328665 -0.27544815 -0.10740141  0.08347678
 -0.14023188 -0.3216604   0.64940797  0.67958206  0.60882658  0.61798084
  0.5135147   0.20892472  0.4435595   0.59584455  0.45386946  0.14084632]"
36,3600,0.07545964014248158,-0.44344349528106425,"[ 0.50016061  0.52287603  0.48990286  0.50755809  0.19377551  0.05369437
  0.42968382  0.54739984  0.10260402 -0.28714282  0.56109664 -0.00758039
  0.44467664  0.48355784  0.05507746 -0.28115677 -0.10739287  0.08461881
 -0.14256755 -0.32568201  0.65420136  0.68612436  0.61288037  0.62265276
  0.51917244  0.20815041  0.44819981  0.60079518  0.4587695   0.1420186 ]"
37,3700,0.07505045176659686,-0.444878110495287,"[ 0.50219965  0.52640074  0.49177972  0.50998613  0.19488858  0.05046881
  0.43337771  0.55123872  0.10206393 -0.2901144   0.56729936 -0.0086215
  0.44871309  0.48807771  0.0568421  -0.28678536 -0.10734416  0.08576941
 -0.14486441 -0.32962964  0.6588732   0.69249395  0.61682193  0.62720686
  0.52470414  0.20735399  0.45276756  0.60564024  0.46358254  0.14317515]"
38,3800,0.07465816344203015,-0.44621814422800027,"[ 0.50415381  0.52979055  0.49357551  0.5123251   0.19596748  0.04726064
  0.43700857  0.55499128  0.10151405 -0.29301244  0.57340208 -0.0096791
  0.45267314  0.49251179  0.05858151 -0.29233661 -0.10725786  0.0869278
 -0.14712344 -0.33350648  0.66342938  0.69869952  0.62065677  0.63164888
  0.53011475  0.20653719  0.45726544  0.61038439  0.46831244  0.14431685]"
39,3900,0.07428165130773055,-0.44746901892766683,"[ 0.5060274   0.53305239  0.49529439  0.51457948  0.19701356  0.04406999
  0.44057903  0.55866157  0.10095528 -0.29583985  0.57940892 -0.0107516
  0.45656002  0.49686389  0.06029658 -0.29781306 -0.10713632  0.08809326
 -0.1493456  -0.33731546  0.66787537  0.70474919  0.62439     0.63598415
  0.5354089   0.20570162  0.46169598  0.61503196  0.4729628   0.14544453]"
